code, display
66401, Adult Day Health Care
1001, Allergy and Immunology
91501, Allergy and Immunology
99301, Ambulatory Surgery Center
81601, Assertive Community Treatment (ACT)
64001, Audiology/Hearing Aids
99601, Audiology/Hearing Aids
6201, Cardiology
65101, Cardiology
65201, Cardiology
65301, Cardiology
92701, Cardiology
92704, Cardiology
92801, Cardiology
92702, Cardiology
66501, Certified Home Health Agency (CHHA)
16202, Chiropractic
28001, Chiropractic
99201, Comprehensive Psychiatric Emergency Program (CPEP)
67501, Consumer Directed Personal Assistance Services (CDPAS)
67601, Consumer Directed Personal Assistance Services (CDPAS)
31201, Continuing/Day Treatment
31701, Continuing/Day Treatment
97201, Continuing/Day Treatment
97301, Continuing/Day Treatment
97501, Continuing/Day Treatment
97601, Continuing/Day Treatment
4001, Dermatology
95601, Dermatology
32101, Diagnostic and Treatment Center (D&TC)
91401, Diagnostic and Treatment Center (D&TC)
91301, Dialysis Center
30701, Durable Medical Equipment (DME)
81701, Durable Medical Equipment (DME)
6301, Endocrinology
51601, Endocrinology
90201, Endocrinology
40501, Federally Qualified Health Center (FQHC)
6401, Gastroenterology
93001, Gastroenterology
21001, General Surgery
95101, General Surgery
95201, General Surgery
62001, Geriatrics
62101, Geriatrics
11101, Hand Surgery
11201, Hand Surgery
11301, Hand Surgery
17002, Hand Surgery
21003, Head And Neck Surgery
6501, Hematology/Oncology
48001, Hematology/Oncology
48101, Hematology/Oncology
48201, Hematology/Oncology
48501, Hematology/Oncology
13701, Hematology/Oncology
66701, Home Delivered and Congregate Meals
66801, Home Health Aide
1101, Hospital
89901, Hospital
3201, Infusion
61601, Inpatient Psychiatric Center
31901, Intensive Psychiatric Rehabilitation Treatment Program
67201, Licensed Home Care Services Agency (LHCSA)
31001, Mental Health Clinic
31501, Mental Health Clinic
32201, Mental Health Clinic
97101, Mental Health Clinic
97401, Mental Health Clinic
28301, Mental Health Counselor
37501, Mental Health Outpatient Services
37601, Mental Health Outpatient Services
32601, Mental Health Residential Services
32901, Mental Health Residential Services
36501, Mental Health Residential Services
73801, Mobile Radiology
19401, Neurology
24001, Neurology
19501, Neurology
7001, Neurosurgery
93201, Neurosurgery
67101, Non-Emergent Transportation
9501, Nutrition
90301, Nutrition
90901, Nutrition
8901, Obstetrics & Gynecology
8903, Obstetrics & Gynecology
24201, Obstetrics & Gynecology
90401, Obstetrics & Gynecology
90501, Obstetrics & Gynecology
90502, Obstetrics & Gynecology
30101, Occupational Therapy
92301, Occupational Therapy
10001, Ophthalmology
10002, Ophthalmology
10004, Ophthalmology
95801, Ophthalmology
71401, Optometry
71501, Optometry
71601, Optometry
85101, Optometry
91901, Optometry
80801, Oral Surgery
81101, Oral Surgery
80101, Orthodontics
91201, Orthodontics
11001, Orthopedic Surgery
95001, Orthopedic Surgery
96901, Orthotics and Prosthetics
12001, Ear; Nose; & Throat (ENT)/Otolaryngology
93501, Ear; Nose; & Throat (ENT)/Otolaryngology
19001, Pain Management
63001, Pain Management
31301, Partial Hospitalization
31801, Partial Hospitalization
61501, Personal Emergency Response System (PERS)
67301, Personal Care Services
16001, Physical Medicine And Rehabilitation
92401, Physical Medicine And Rehabilitation
30001, Physical Therapy
92001, Physical Therapy
11401, Plastic Surgery
17001, Plastic Surgery
77801, Podiatry
77802, Podiatry
91801, Podiatry
68001, Private Duty Nursing
80501, Prosthodontics
19201, Psychiatry
94501, Psychiatry
96401, Psychiatry
93401, Radiation Oncology
24401, Radiation Oncology
20001, Radiology Center
20101, Radiology Center
66001, Skilled Nursing Facility (SNF)
66301, Skilled Nursing Facility (SNF)
65501, Skilled Nursing Facility (SNF)
65901, Skilled Nursing Facility (SNF)
66201, Social Adult Day Care
28101, Social Worker
78101, Social Worker
30201, Speech Therapy
92101, Speech Therapy
60001, Sports Medicine
60101, Sports Medicine
60201, Sports Medicine
60401, Sports Medicine
28201, Substance Abuse Counselor
701, Substance Abuse Program
1701, Substance Abuse Program
1801, Substance Abuse Program
30901, Substance Abuse Program
74901, Substance Abuse Program
92201, Substance Abuse Program
94901, Substance Abuse Program
98401, Substance Abuse Program
98601, Substance Abuse Program
98701, Substance Abuse Program
98801, Substance Abuse Program
22001, Thoracic Surgery
22003, Thoracic Surgery
74101, Transplant Surgery
82301, Urgent Care Center
24301, Vascular Surgery
65001, Vascular Surgery
dn_ndocid, dn_doc_des_1
0000000901, FEMALE PELVIC MEDICINE AND RECONSTUCTIVE SURGERY 
0000001101, GENERAL HOSPITAL ARTICLE 28 
0000002001, ANESTHESIOLOGY 
0000002002, CERTIFIED REGISTERED NURSE ANESTHETIST CRNA 
0000003001, COLON AND RECTAL SURGERY 
0000004101, DERMATOPATHOLOGY 
0000005001, FAMILY MEDICINE 
0000005002, NURSE PRACTITIONER FAMILY HEALTH 
0000005801, INTERNAL MEDICINE AND PEDIATRICS 
0000006001, INTERNAL MEDICINE 
0000006002, NURSE PRACTITIONER ADULT HEALTH 
0000006401, GASTROENTEROLOGY 
0000006601, INFECTIOUS DISEASE 
0000006701, NEPHROLOGY 
0000006801, PULMONARY DISEASES 
0000006901, RHEUMATOLOGY 
0000007001, NEUROSURGERY 
0000007601, PEDIATRIC REHABILITATION MEDICINE 
0000008001, NUCLEAR MEDICINE 
0000008301, NEUROMUSCULAR MEDICINE 
0000008401, NEURORADIOLOGY 
